ENTREZ_GENE_ID	HUGO_GENE_SYMBOL	GENETIC_ENTITY_ID	TYPE
107	ADCY1	90	protein-coding
108	ADCY2	91	protein-coding
109	ADCY3	92	protein-coding
111	ADCY5	93	protein-coding
112	ADCY6	94	protein-coding
113	ADCY7	95	protein-coding
114	ADCY8	96	protein-coding
115	ADCY9	97	protein-coding
116	ADCYAP1	98	protein-coding
117	ADCYAP1R1	99	protein-coding
118	ADD1	100	protein-coding
119	ADD2	101	protein-coding
120	ADD3	102	protein-coding
122	ADFN	103	unknown
123	PLIN2	104	protein-coding
124	ADH1A	105	protein-coding
125	ADH1B	106	protein-coding
126	ADH1C	107	protein-coding
127	ADH4	108	protein-coding
128	ADH5	109	protein-coding
130	ADH6	110	protein-coding
131	ADH7	111	protein-coding
132	ADK	112	protein-coding
133	ADM	113	protein-coding
134	ADORA1	114	protein-coding
135	ADORA2A	115	protein-coding
136	ADORA2B	116	protein-coding
137	ADORA2BP1	117	pseudo
140	ADORA3	118	protein-coding
141	ADPRH	119	protein-coding
142	PARP1	120	protein-coding
143	PARP4	121	protein-coding
144	PARP1P1	122	pseudo
145	PARP1P2	123	pseudo
146	ADRA1D	124	protein-coding
147	ADRA1B	125	protein-coding
148	ADRA1A	126	protein-coding
150	ADRA2A	127	protein-coding
151	ADRA2B	128	protein-coding
152	ADRA2C	129	protein-coding
153	ADRB1	130	protein-coding
154	ADRB2	131	protein-coding
155	ADRB3	132	protein-coding
156	GRK2	133	protein-coding
157	GRK3	134	protein-coding
158	ADSL	135	protein-coding
159	ADSS	136	protein-coding
160	AP2A1	137	protein-coding
161	AP2A2	138	protein-coding
162	AP1B1	139	protein-coding
163	AP2B1	140	protein-coding
164	AP1G1	141	protein-coding
165	AEBP1	142	protein-coding
166	AES	143	protein-coding
167	CRISP1	144	protein-coding
169	AF8T	145	unknown
170	AFA	146	unknown
171	AFD1	147	unknown
172	AFG3L1P	148	pseudo
173	AFM	149	protein-coding
174	AFP	150	protein-coding
175	AGA	151	protein-coding
176	ACAN	152	protein-coding
177	AGER	153	protein-coding
178	AGL	154	protein-coding
179	AGMX2	155	unknown
181	AGRP	156	protein-coding
182	JAG1	157	protein-coding
183	AGT	158	protein-coding
185	AGTR1	159	protein-coding
186	AGTR2	160	protein-coding
187	APLNR	161	protein-coding
189	AGXT	162	protein-coding
190	NR0B1	163	protein-coding
191	AHCY	164	protein-coding
192	AIC	165	unknown
196	AHR	166	protein-coding
197	AHSG	167	protein-coding
199	AIF1	168	protein-coding
201	AIH3	169	unknown
202	CRYBG1	170	protein-coding
203	AK1	171	protein-coding
204	AK2	172	protein-coding
205	AK4	173	protein-coding
206	AK4P1	174	pseudo
207	AKT1	175	protein-coding
208	AKT2	176	protein-coding
210	ALAD	177	protein-coding
211	ALAS1	178	protein-coding
212	ALAS2	179	protein-coding
213	ALB	180	protein-coding
214	ALCAM	181	protein-coding
215	ABCD1	182	protein-coding
216	ALDH1A1	183	protein-coding
217	ALDH2	184	protein-coding
218	ALDH3A1	185	protein-coding
219	ALDH1B1	186	protein-coding
220	ALDH1A3	187	protein-coding
221	ALDH3B1	188	protein-coding
222	ALDH3B2	189	protein-coding
223	ALDH9A1	190	protein-coding
224	ALDH3A2	191	protein-coding
225	ABCD2	192	protein-coding
226	ALDOA	193	protein-coding
228	ALDOAP2	194	pseudo
229	ALDOB	195	protein-coding
230	ALDOC	196	protein-coding
231	AKR1B1	197	protein-coding
236	AKR1B1P2	198	pseudo
238	ALK	199	protein-coding
239	ALOX12	200	protein-coding
240	ALOX5	201	protein-coding
241	ALOX5AP	202	protein-coding
242	ALOX12B	203	protein-coding
243	ALOX12P1	204	pseudo
245	ALOX12P2	205	pseudo
246	ALOX15	206	protein-coding
247	ALOX15B	207	protein-coding
248	ALPI	208	protein-coding
249	ALPL	209	protein-coding
250	ALPP	210	protein-coding
251	ALPG	211	protein-coding
253	ALS3	212	unknown
255	ALS5	213	unknown
257	ALX3	214	protein-coding
258	AMBN	215	protein-coding
259	AMBP	216	protein-coding
261	AMCN	217	unknown
262	AMD1	218	protein-coding
263	AMD1P2	219	pseudo
265	AMELX	220	protein-coding
266	AMELY	221	protein-coding
267	AMFR	222	protein-coding
268	AMH	223	protein-coding
269	AMHR2	224	protein-coding
270	AMPD1	225	protein-coding
271	AMPD2	226	protein-coding
272	AMPD3	227	protein-coding
273	AMPH	228	protein-coding
274	BIN1	229	protein-coding
275	AMT	230	protein-coding
276	AMY1A	231	protein-coding
277	AMY1B	232	protein-coding
278	AMY1C	233	protein-coding
279	AMY2A	234	protein-coding
280	AMY2B	235	protein-coding
281	AMYP1	236	pseudo
282	ANCR	237	other
283	ANG	238	protein-coding
284	ANGPT1	239	protein-coding
285	ANGPT2	240	protein-coding
286	ANK1	241	protein-coding
287	ANK2	242	protein-coding
288	ANK3	243	protein-coding
289	ANOP1	244	unknown
290	ANPEP	245	protein-coding
291	SLC25A4	246	protein-coding
292	SLC25A5	247	protein-coding
293	SLC25A6	248	protein-coding
301	ANXA1	249	protein-coding
302	ANXA2	250	protein-coding
303	ANXA2P1	251	pseudo
304	ANXA2P2	252	pseudo
305	ANXA2P3	253	pseudo
306	ANXA3	254	protein-coding
307	ANXA4	255	protein-coding
308	ANXA5	256	protein-coding
309	ANXA6	257	protein-coding
310	ANXA7	258	protein-coding
311	ANXA11	259	protein-coding
312	ANXA13	260	protein-coding
313	AOAH	261	protein-coding
314	AOC2	262	protein-coding
316	AOX1	263	protein-coding
317	APAF1	264	protein-coding
318	NUDT2	265	protein-coding
319	APOF	266	protein-coding
320	APBA1	267	protein-coding
321	APBA2	268	protein-coding
322	APBB1	269	protein-coding
323	APBB2	270	protein-coding
324	APC	271	protein-coding
325	APCS	272	protein-coding
326	AIRE	273	protein-coding
327	APEH	274	protein-coding
328	APEX1	275	protein-coding
329	BIRC2	276	protein-coding
330	BIRC3	277	protein-coding
331	XIAP	278	protein-coding
332	BIRC5	279	protein-coding
333	APLP1	280	protein-coding
334	APLP2	281	protein-coding
335	APOA1	282	protein-coding
336	APOA2	283	protein-coding
337	APOA4	284	protein-coding
338	APOB	285	protein-coding
339	APOBEC1	286	protein-coding
341	APOC1	287	protein-coding
342	APOC1P1	288	pseudo
343	AQP8	289	protein-coding
344	APOC2	290	protein-coding
345	APOC3	291	protein-coding
346	APOC4	292	protein-coding
347	APOD	293	protein-coding
348	APOE	294	protein-coding
350	APOH	295	protein-coding
351	APP	296	protein-coding
353	APRT	297	protein-coding
354	KLK3	298	protein-coding
355	FAS	299	protein-coding
356	FASLG	300	protein-coding
357	SHROOM2	301	protein-coding
358	AQP1	302	protein-coding
359	AQP2	303	protein-coding
360	AQP3	304	protein-coding
361	AQP4	305	protein-coding
362	AQP5	306	protein-coding
363	AQP6	307	protein-coding
364	AQP7	308	protein-coding
366	AQP9	309	protein-coding
367	AR	310	protein-coding
368	ABCC6	311	protein-coding
369	ARAF	312	protein-coding
372	ARCN1	313	protein-coding
373	TRIM23	314	protein-coding
374	AREG	315	protein-coding
375	ARF1	316	protein-coding
377	ARF3	317	protein-coding
378	ARF4	318	protein-coding
379	ARL4D	319	protein-coding
380	ARF4P1	320	pseudo
381	ARF5	321	protein-coding
382	ARF6	322	protein-coding
383	ARG1	323	protein-coding
384	ARG2	324	protein-coding
387	RHOA	325	protein-coding
388	RHOB	326	protein-coding
389	RHOC	327	protein-coding
390	RND3	328	protein-coding
391	RHOG	329	protein-coding
392	ARHGAP1	330	protein-coding
393	ARHGAP4	331	protein-coding
394	ARHGAP5	332	protein-coding
395	ARHGAP6	333	protein-coding
396	ARHGDIA	334	protein-coding
397	ARHGDIB	335	protein-coding
398	ARHGDIG	336	protein-coding
399	RHOH	337	protein-coding
400	ARL1	338	protein-coding
401	PHOX2A	339	protein-coding
402	ARL2	340	protein-coding
403	ARL3	341	protein-coding
405	ARNT	342	protein-coding
406	ARNTL	343	protein-coding
407	ARR3	344	protein-coding
408	ARRB1	345	protein-coding
409	ARRB2	346	protein-coding
410	ARSA	347	protein-coding
411	ARSB	348	protein-coding
412	STS	349	protein-coding
413	ARSC2	350	unknown
414	ARSD	351	protein-coding
415	ARSE	352	protein-coding
416	ARSF	353	protein-coding
417	ART1	354	protein-coding
418	ART2P	355	pseudo
419	ART3	356	protein-coding
420	ART4	357	protein-coding
421	ARVCF	358	protein-coding
424	ARVD3	359	unknown
425	ARVD4	360	unknown
427	ASAH1	361	protein-coding
429	ASCL1	362	protein-coding
430	ASCL2	363	protein-coding
431	ASD1	364	unknown
432	ASGR1	365	protein-coding
433	ASGR2	366	protein-coding
434	ASIP	367	protein-coding
435	ASL	368	protein-coding
436	ASLP1	369	pseudo
438	ASMT	370	protein-coding
439	ASNA1	371	protein-coding
440	ASNS	372	protein-coding
442	ASNSP2	373	pseudo
443	ASPA	374	protein-coding
444	ASPH	375	protein-coding
445	ASS1	376	protein-coding
447	ASS1P2	377	pseudo
449	ASS1P4	378	pseudo
450	ASS1P5	379	pseudo
451	ASS1P6	380	pseudo
453	ASS1P8	381	pseudo
454	ASS1P9	382	pseudo
455	ASS1P10	383	pseudo
459	ASS1P14	384	pseudo
460	ASTN1	385	protein-coding
462	SERPINC1	386	protein-coding
463	ZFHX3	387	protein-coding
465	ATD	388	unknown
466	ATF1	389	protein-coding
467	ATF3	390	protein-coding
468	ATF4	391	protein-coding
469	ATF4P1	392	pseudo
470	ATHS	393	unknown
471	ATIC	394	protein-coding
472	ATM	395	protein-coding
473	RERE	396	protein-coding
474	ATOH1	397	protein-coding
475	ATOX1	398	protein-coding
476	ATP1A1	399	protein-coding
477	ATP1A2	400	protein-coding
478	ATP1A3	401	protein-coding
479	ATP12A	402	protein-coding
480	ATP1A4	403	protein-coding
481	ATP1B1	404	protein-coding
482	ATP1B2	405	protein-coding
483	ATP1B3	406	protein-coding
484	ATP1B3P1	407	pseudo
485	ATP1B1P1	408	pseudo
486	FXYD2	409	protein-coding
487	ATP2A1	410	protein-coding
488	ATP2A2	411	protein-coding
489	ATP2A3	412	protein-coding
490	ATP2B1	413	protein-coding
491	ATP2B2	414	protein-coding
492	ATP2B3	415	protein-coding
493	ATP2B4	416	protein-coding
495	ATP4A	417	protein-coding
496	ATP4B	418	protein-coding
498	ATP5F1A	419	protein-coding
501	ALDH7A1	420	protein-coding
504	ATP5F1AP2	421	pseudo
506	ATP5F1B	422	protein-coding
507	ATP5F1BP1	423	pseudo
509	ATP5F1C	424	protein-coding
513	ATP5F1D	425	protein-coding
514	ATP5F1E	426	protein-coding
515	ATP5PB	427	protein-coding
516	ATP5MC1	428	protein-coding
517	ATP5MC2	429	protein-coding
518	ATP5MC3	430	protein-coding
520	ATP5MC2P1	431	pseudo
521	ATP5ME	432	protein-coding
522	ATP5PF	433	protein-coding
523	ATP6V1A	434	protein-coding
525	ATP6V1B1	435	protein-coding
526	ATP6V1B2	436	protein-coding
527	ATP6V0C	437	protein-coding
528	ATP6V1C1	438	protein-coding
529	ATP6V1E1	439	protein-coding
533	ATP6V0B	440	protein-coding
534	ATP6V1G2	441	protein-coding
535	ATP6V0A1	442	protein-coding
537	ATP6AP1	443	protein-coding
538	ATP7A	444	protein-coding
539	ATP5PO	445	protein-coding
540	ATP7B	446	protein-coding
541	ALDH7A1P1	447	pseudo
542	ALDH7A1P2	448	pseudo
543	ALDH7A1P3	449	pseudo
544	ALDH7A1P4	450	pseudo
545	ATR	451	protein-coding
546	ATRX	452	protein-coding
547	KIF1A	453	protein-coding
549	AUH	454	protein-coding
550	AUP1	455	protein-coding
551	AVP	456	protein-coding
552	AVPR1A	457	protein-coding
553	AVPR1B	458	protein-coding
554	AVPR2	459	protein-coding
558	AXL	460	protein-coding
560	AZF1	461	unknown
563	AZGP1	462	protein-coding
566	AZU1	463	protein-coding
567	B2M	464	protein-coding
568	B2MR	465	unknown
570	BAAT	466	protein-coding
571	BACH1	467	protein-coding
572	BAD	468	protein-coding
573	BAG1	469	protein-coding
574	BAGE	470	protein-coding
575	ADGRB1	471	protein-coding
576	ADGRB2	472	protein-coding
577	ADGRB3	473	protein-coding
578	BAK1	474	protein-coding
579	NKX3-2	475	protein-coding
580	BARD1	476	protein-coding
581	BAX	477	protein-coding
582	BBS1	478	protein-coding
583	BBS2	479	protein-coding
585	BBS4	480	protein-coding
586	BCAT1	481	protein-coding
587	BCAT2	482	protein-coding
590	BCHE	483	protein-coding
593	BCKDHA	484	protein-coding
594	BCKDHB	485	protein-coding
595	CCND1	486	protein-coding
596	BCL2	487	protein-coding
597	BCL2A1	488	protein-coding
598	BCL2L1	489	protein-coding
599	BCL2L2	490	protein-coding
600	BAK1P1	491	pseudo
601	BAK1P2	492	pseudo
602	BCL3	493	protein-coding
603	BCL5	494	unknown
604	BCL6	495	protein-coding
605	BCL7A	496	protein-coding
606	NBEAP1	497	pseudo
607	BCL9	498	protein-coding
608	TNFRSF17	499	protein-coding
610	HCN2	500	protein-coding
611	OPN1SW	501	protein-coding
613	BCR	502	protein-coding
616	BCRP4	503	pseudo
617	BCS1L	504	protein-coding
618	BCYRN1	505	ncRNA
619	BCYRN1P1	506	pseudo
620	BCYRN1P2	507	pseudo
622	BDH1	508	protein-coding
623	BDKRB1	509	protein-coding
624	BDKRB2	510	protein-coding
627	BDNF	511	protein-coding
628	BEVI	41520	unknown
629	CFB	512	protein-coding
631	BFSP1	513	protein-coding
632	BGLAP	514	protein-coding
633	BGN	515	protein-coding
634	CEACAM1	516	protein-coding
635	BHMT	517	protein-coding
636	BICD1	518	protein-coding
637	BID	519	protein-coding
638	BIK	520	protein-coding
639	PRDM1	521	protein-coding
640	BLK	522	protein-coding
641	BLM	523	protein-coding
642	BLMH	524	protein-coding
643	CXCR5	525	protein-coding
644	BLVRA	526	protein-coding
645	BLVRB	527	protein-coding
646	BNC1	528	protein-coding
648	BMI1	529	protein-coding
649	BMP1	530	protein-coding
650	BMP2	531	protein-coding
651	BMP3	532	protein-coding
652	BMP4	533	protein-coding
653	BMP5	534	protein-coding
654	BMP6	535	protein-coding
655	BMP7	536	protein-coding
656	BMP8B	537	protein-coding
657	BMPR1A	538	protein-coding
658	BMPR1B	539	protein-coding
659	BMPR2	540	protein-coding
660	BMX	541	protein-coding
661	POLR3D	542	protein-coding
662	BNIP1	543	protein-coding
663	BNIP2	544	protein-coding
664	BNIP3	545	protein-coding
665	BNIP3L	546	protein-coding
666	BOK	547	protein-coding
667	DST	548	protein-coding
668	FOXL2	549	protein-coding
669	BPGM	550	protein-coding
670	BPHL	551	protein-coding
671	BPI	552	protein-coding
672	BRCA1	553	protein-coding
673	BRAF	554	protein-coding
675	BRCA2	555	protein-coding
676	BRDT	556	protein-coding
677	ZFP36L1	557	protein-coding
678	ZFP36L2	558	protein-coding
680	BRS3	559	protein-coding
682	BSG	560	protein-coding
683	BST1	561	protein-coding
684	BST2	562	protein-coding
685	BTC	563	protein-coding
686	BTD	564	protein-coding
687	KLF9	565	protein-coding
688	KLF5	566	protein-coding
689	BTF3	567	protein-coding
690	BTF3P11	568	pseudo
693	BTF3P1	569	pseudo
694	BTG1	570	protein-coding
695	BTK	571	protein-coding
696	BTN1A1	572	protein-coding
698	BTS1	573	unknown
699	BUB1	574	protein-coding
700	BVR1	575	other
701	BUB1B	576	protein-coding
705	BYSL	577	protein-coding
706	TSPO	578	protein-coding
708	C1QBP	579	protein-coding
710	SERPING1	580	protein-coding
711	ERC2-IT1	581	ncRNA
712	C1QA	582	protein-coding
713	C1QB	583	protein-coding
714	C1QC	584	protein-coding
715	C1R	585	protein-coding
716	C1S	586	protein-coding
717	C2	587	protein-coding
718	C3	588	protein-coding
719	C3AR1	589	protein-coding
720	C4A	590	protein-coding
721	C4B	591	protein-coding
722	C4BPA	592	protein-coding
724	C4BPAP2	593	pseudo
725	C4BPB	594	protein-coding
726	CAPN5	595	protein-coding
727	C5	596	protein-coding
728	C5AR1	597	protein-coding
729	C6	598	protein-coding
730	C7	599	protein-coding
731	C8A	600	protein-coding
732	C8B	601	protein-coding
733	C8G	602	protein-coding
734	OSGIN2	603	protein-coding
735	C9	604	protein-coding
738	VPS51	605	protein-coding
740	MRPL49	606	protein-coding
741	ZNHIT2	607	protein-coding
744	MPPED2	608	protein-coding
745	MYRF	609	protein-coding
746	TMEM258	610	protein-coding
747	DAGLA	611	protein-coding
750	GAS8-AS1	612	ncRNA
752	FMNL1	613	protein-coding
753	LDLRAD4	614	protein-coding
754	PTTG1IP	615	protein-coding
755	CFAP410	616	protein-coding
757	TMEM50B	617	protein-coding
758	MPPED1	618	protein-coding
759	CA1	619	protein-coding
760	CA2	620	protein-coding
761	CA3	621	protein-coding
762	CA4	622	protein-coding
763	CA5A	623	protein-coding
764	CA5AP1	624	pseudo
765	CA6	625	protein-coding
766	CA7	626	protein-coding
767	CA8	627	protein-coding
768	CA9	628	protein-coding
770	CA11	629	protein-coding
771	CA12	630	protein-coding
772	CACD	631	unknown
773	CACNA1A	632	protein-coding
774	CACNA1B	633	protein-coding
775	CACNA1C	634	protein-coding
776	CACNA1D	635	protein-coding
777	CACNA1E	636	protein-coding
778	CACNA1F	637	protein-coding
779	CACNA1S	638	protein-coding
780	DDR1	639	protein-coding
781	CACNA2D1	640	protein-coding
782	CACNB1	641	protein-coding
783	CACNB2	642	protein-coding
784	CACNB3	643	protein-coding
785	CACNB4	644	protein-coding
786	CACNG1	645	protein-coding
788	SLC25A20	646	protein-coding
789	SLC25A20P1	647	pseudo
790	CAD	648	protein-coding
793	CALB1	649	protein-coding
794	CALB2	650	protein-coding
795	S100G	651	protein-coding
796	CALCA	652	protein-coding
797	CALCB	653	protein-coding
798	CALCP	654	pseudo
799	CALCR	655	protein-coding
800	CALD1	656	protein-coding
801	CALM1	657	protein-coding
802	CALM1P1	658	pseudo
804	CALM1P2	659	pseudo
805	CALM2	660	protein-coding
806	CALM2P2	661	pseudo
807	CALM2P3	662	pseudo
808	CALM3	663	protein-coding
810	CALML3	664	protein-coding
811	CALR	665	protein-coding
813	CALU	666	protein-coding
814	CAMK4	667	protein-coding
815	CAMK2A	668	protein-coding
816	CAMK2B	669	protein-coding
817	CAMK2D	670	protein-coding
818	CAMK2G	671	protein-coding
819	CAMLG	672	protein-coding
820	CAMP	673	protein-coding
821	CANX	674	protein-coding
822	CAPG	675	protein-coding
823	CAPN1	676	protein-coding
824	CAPN2	677	protein-coding
825	CAPN3	678	protein-coding
826	CAPNS1	679	protein-coding
827	CAPN6	680	protein-coding
828	CAPS	681	protein-coding
829	CAPZA1	682	protein-coding
830	CAPZA2	683	protein-coding
831	CAST	684	protein-coding
832	CAPZB	685	protein-coding
833	CARS	686	protein-coding
834	CASP1	687	protein-coding
835	CASP2	688	protein-coding
836	CASP3	689	protein-coding
837	CASP4	690	protein-coding
838	CASP5	691	protein-coding
839	CASP6	692	protein-coding
840	CASP7	693	protein-coding
841	CASP8	694	protein-coding
842	CASP9	695	protein-coding
843	CASP10	696	protein-coding
844	CASQ1	697	protein-coding
845	CASQ2	698	protein-coding
846	CASR	699	protein-coding
847	CAT	700	protein-coding
856	CATR1	701	ncRNA
857	CAV1	702	protein-coding
858	CAV2	703	protein-coding
859	CAV3	704	protein-coding
860	RUNX2	705	protein-coding
861	RUNX1	706	protein-coding
862	RUNX1T1	707	protein-coding
863	CBFA2T3	708	protein-coding
864	RUNX3	709	protein-coding
865	CBFB	710	protein-coding
866	SERPINA6	711	protein-coding
867	CBL	712	protein-coding
868	CBLB	713	protein-coding
869	CBLN1	714	protein-coding
871	SERPINH1	715	protein-coding
873	CBR1	716	protein-coding
874	CBR3	717	protein-coding
875	CBS	718	protein-coding
878	CCA1	719	unknown
881	CCIN	720	protein-coding
882	CCAL1	721	unknown
883	KYAT1	722	protein-coding
885	CCK	723	protein-coding
886	CCKAR	724	protein-coding
887	CCKBR	725	protein-coding
889	KRIT1	726	protein-coding
890	CCNA2	727	protein-coding
891	CCNB1	728	protein-coding
892	CCNC	729	protein-coding
894	CCND2	730	protein-coding
895	CCND2P1	731	pseudo
896	CCND3	732	protein-coding
897	CCND3P1	733	pseudo
898	CCNE1	734	protein-coding
899	CCNF	735	protein-coding
900	CCNG1	736	protein-coding
901	CCNG2	737	protein-coding
902	CCNH	738	protein-coding
904	CCNT1	739	protein-coding
905	CCNT2	740	protein-coding
907	CCT	741	unknown
908	CCT6A	742	protein-coding
909	CD1A	743	protein-coding
910	CD1B	744	protein-coding
911	CD1C	745	protein-coding
912	CD1D	746	protein-coding
913	CD1E	747	protein-coding
914	CD2	748	protein-coding
915	CD3D	749	protein-coding
916	CD3E	750	protein-coding
917	CD3G	751	protein-coding
919	CD247	752	protein-coding
920	CD4	753	protein-coding
921	CD5	754	protein-coding
922	CD5L	755	protein-coding
923	CD6	756	protein-coding
924	CD7	757	protein-coding
925	CD8A	758	protein-coding
926	CD8B	759	protein-coding
927	CD8B2	760	protein-coding
928	CD9	761	protein-coding
929	CD14	762	protein-coding
930	CD19	763	protein-coding
931	MS4A1	764	protein-coding
932	MS4A3	765	protein-coding
933	CD22	766	protein-coding
935	CD24P1	767	pseudo
936	CD24P2	768	pseudo
937	CD24P3	769	pseudo
938	CD24P4	770	pseudo
939	CD27	771	protein-coding
940	CD28	772	protein-coding
941	CD80	773	protein-coding
942	CD86	774	protein-coding
943	TNFRSF8	775	protein-coding
944	TNFSF8	776	protein-coding
945	CD33	777	protein-coding
946	SIGLEC6	778	protein-coding
947	CD34	779	protein-coding
948	CD36	780	protein-coding
949	SCARB1	781	protein-coding
950	SCARB2	782	protein-coding
951	CD37	783	protein-coding
952	CD38	784	protein-coding
953	ENTPD1	785	protein-coding
954	ENTPD2	786	protein-coding
955	ENTPD6	787	protein-coding
956	ENTPD3	788	protein-coding
957	ENTPD5	789	protein-coding
958	CD40	790	protein-coding
959	CD40LG	791	protein-coding
960	CD44	792	protein-coding
961	CD47	793	protein-coding
962	CD48	794	protein-coding
963	CD53	795	protein-coding
965	CD58	796	protein-coding
966	CD59	797	protein-coding
967	CD63	798	protein-coding
968	CD68	799	protein-coding
969	CD69	800	protein-coding
970	CD70	801	protein-coding
971	CD72	802	protein-coding
972	CD74	803	protein-coding
973	CD79A	804	protein-coding
974	CD79B	805	protein-coding
975	CD81	806	protein-coding
976	ADGRE5	807	protein-coding
977	CD151	808	protein-coding
978	CDA	809	protein-coding
981	CDAN3	810	unknown
982	CDB2	811	unknown
983	CDK1	812	protein-coding
984	CDK11B	813	protein-coding
987	LRBA	814	protein-coding
988	CDC5L	815	protein-coding
989	SEPT7	816	protein-coding
990	CDC6	817	protein-coding
991	CDC20	818	protein-coding
993	CDC25A	819	protein-coding
994	CDC25B	820	protein-coding
995	CDC25C	821	protein-coding
996	CDC27	822	protein-coding
997	CDC34	823	protein-coding
998	CDC42	824	protein-coding
999	CDH1	825	protein-coding
1000	CDH2	826	protein-coding
1001	CDH3	827	protein-coding
1002	CDH4	828	protein-coding
1003	CDH5	829	protein-coding
1004	CDH6	830	protein-coding
1005	CDH7	831	protein-coding
1006	CDH8	832	protein-coding
1007	CDH9	833	protein-coding
1008	CDH10	834	protein-coding
1009	CDH11	835	protein-coding
1010	CDH12	836	protein-coding
1011	CDH12P2	837	pseudo
1012	CDH13	838	protein-coding
1013	CDH15	839	protein-coding
1014	CDH16	840	protein-coding
1015	CDH17	841	protein-coding
1016	CDH18	842	protein-coding
1017	CDK2	843	protein-coding
1018	CDK3	844	protein-coding
1019	CDK4	845	protein-coding
1020	CDK5	846	protein-coding
1021	CDK6	847	protein-coding
1022	CDK7	848	protein-coding
1023	CDL2	849	unknown
1024	CDK8	850	protein-coding
1025	CDK9	851	protein-coding
1026	CDKN1A	852	protein-coding
1027	CDKN1B	853	protein-coding
1028	CDKN1C	854	protein-coding
1029	CDKN2A	855	protein-coding
1030	CDKN2B	856	protein-coding
1031	CDKN2C	857	protein-coding
1032	CDKN2D	858	protein-coding
1033	CDKN3	859	protein-coding
1036	CDO1	860	protein-coding
1038	CDR1	861	protein-coding
1039	CDR2	862	protein-coding
1040	CDS1	863	protein-coding
1041	CDSN	864	protein-coding
1043	CD52	865	protein-coding
1044	CDX1	866	protein-coding
1045	CDX2	867	protein-coding
1046	CDX4	868	protein-coding
1047	CLGN	869	protein-coding
1048	CEACAM5	870	protein-coding
1050	CEBPA	871	protein-coding
1051	CEBPB	872	protein-coding
1052	CEBPD	873	protein-coding
1053	CEBPE	874	protein-coding
1054	CEBPG	875	protein-coding
1055	CECR	876	other
1056	CEL	877	protein-coding
1057	CELP	878	pseudo
1058	CENPA	879	protein-coding
1059	CENPB	880	protein-coding
1060	CENPC	881	protein-coding
1061	CENPCP1	882	pseudo
1062	CENPE	883	protein-coding
1063	CENPF	884	protein-coding
1066	CES1	885	protein-coding
1068	CETN1	886	protein-coding
1069	CETN2	887	protein-coding
1070	CETN3	888	protein-coding
1071	CETP	889	protein-coding
1072	CFL1	890	protein-coding
1073	CFL2	891	protein-coding
